sampleid	read_count	percentage_nonresident_reads	Project_ID	Case_Control	Disease_Level_1	Disease_Level_2
DRR352783	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352786	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
DRR352791	3000	0.000	PRJDB13192	Case	Infectious	COVID-19
ERR3711754	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711755	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711756	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711757	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711758	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711760	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711761	0	1.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711762	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711763	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711764	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711766	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711767	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711768	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711769	3000	0.000	PRJEB35665	Control	Cancer	Melanoma
ERR3711774	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711775	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711776	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711779	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711780	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711781	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711782	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711783	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711784	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR3711787	3000	0.000	PRJEB35665	Case	Cancer	Melanoma
ERR4264855	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264856	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264857	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264858	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264863	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264864	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264865	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264868	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264880	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264881	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264882	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264886	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264890	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264894	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264896	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264897	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264899	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264904	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264905	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264906	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264910	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264911	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264918	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264919	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264921	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264922	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264927	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264929	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264931	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264932	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264939	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264943	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264945	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264947	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264948	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264951	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264954	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264956	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264961	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264971	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264972	3000	0.000	PRJEB38930	Control	Other	AN
ERR4264973	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264974	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264982	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264984	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264987	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264988	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264994	3000	0.000	PRJEB38930	Case	Other	AN
ERR4264999	3000	0.000	PRJEB38930	Case	Other	AN
ERR4265006	3000	0.000	PRJEB38930	Case	Other	AN
ERR4265007	3000	0.000	PRJEB38930	Case	Other	AN
ERR4265008	3000	0.000	PRJEB38930	Control	Other	AN
ERR5051420	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051435	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051453	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051458	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051461	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051468	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051470	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051486	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051490	3000	0.000	PRJEB42375	Case	Gastrointestinal	IBS
ERR5051495	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051508	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051513	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051516	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051520	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051521	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051524	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051533	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051536	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051548	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR5051554	3000	0.000	PRJEB42375	Control	Gastrointestinal	IBS
ERR6295990	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6295991	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6295992	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6295994	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6295995	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6295996	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6295999	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6296000	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6296001	3000	0.000	PRJEB46343	Control	Infectious	HIV
ERR6296006	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296007	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296008	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296010	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296012	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296013	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296014	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296015	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296016	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296017	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296018	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296019	3000	0.000	PRJEB46343	Case	Infectious	HIV
ERR6296025	3000	0.000	PRJEB46343	Case	Infectious	HIV
S731	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S739	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S746	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S754	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S755	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S763	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S768	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S776	3000	0.000	crohns-paper_37122605	Control	Gastrointestinal	IBD
S786	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S787	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S788	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S790	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S804	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S806	3000	0.000	crohns-paper_37122605	Control	Gastrointestinal	IBD
S816	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S817	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S818	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S819	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S825	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S840	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S843	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S853	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S861	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S884	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S893	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S901	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S908	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S909	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S918	3000	0.000	crohns-paper_37122605	Control	Gastrointestinal	IBD
S932	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
S948	3000	0.000	crohns-paper_37122605	Case	Gastrointestinal	IBD
SRR10505051	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505052	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505059	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505064	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505068	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505069	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505079	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505085	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505087	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505097	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505101	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505102	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505111	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505112	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505118	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505120	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505123	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505128	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505129	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505130	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505136	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505137	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR10505146	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505148	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505152	3000	0.000	PRJNA590898	Control	Gastrointestinal	IBD
SRR10505155	3000	0.000	PRJNA590898	Case	Gastrointestinal	IBD
SRR11098564	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098566	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098570	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098571	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098572	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098573	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098578	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098579	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098580	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098581	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098582	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098586	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098591	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098592	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098593	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098595	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098599	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098600	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098601	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098602	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098603	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098605	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098606	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098607	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098611	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098612	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098614	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098615	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098618	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098623	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098626	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098629	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098630	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098633	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098634	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR11098635	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098638	3000	0.000	PRJNA607176	Case	Gastrointestinal	IBD
SRR11098641	3000	0.000	PRJNA607176	Control	Gastrointestinal	IBD
SRR12268283	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268284	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268285	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268287	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268292	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268301	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268302	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268305	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268307	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268308	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268310	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268311	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268314	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268318	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268324	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268326	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268327	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268329	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268335	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268336	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268337	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268340	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268343	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268344	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268345	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268346	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268347	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268348	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268350	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268351	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268352	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268353	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268358	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268359	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268360	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268362	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268363	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268364	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268365	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268367	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268368	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268371	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268373	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268376	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268377	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268378	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268380	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268382	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268384	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268386	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268387	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268388	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268390	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268391	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268392	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268394	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268395	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268398	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268400	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268402	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268404	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268405	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268406	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268409	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268410	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268417	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268418	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268419	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268420	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268421	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268422	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268427	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268428	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268429	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268431	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268432	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268445	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268446	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268447	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268450	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268451	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268454	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268456	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268461	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268463	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268464	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268466	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268468	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268469	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268473	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268476	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268477	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268479	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268480	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268481	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268483	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268485	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268486	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268488	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268489	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268490	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268491	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268492	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268494	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268495	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268496	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268497	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268498	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268499	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268501	3000	0.000	PRJNA647266	Case	Other	CKD
SRR12268502	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268503	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268504	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268505	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268507	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268508	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268509	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268513	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12268517	3000	0.000	PRJNA647266	Control	Other	CKD
SRR12613966	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613968	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613969	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613971	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613987	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613988	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613990	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613991	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR12613993	3000	0.000	PRJNA662173	Case	Metabolic	T2DM
SRR13762675	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762676	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762681	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762682	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762684	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762687	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762689	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762691	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762692	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762693	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762695	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762696	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762697	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762698	3000	0.000	PRJNA698272	Control	Liver	NAFLD
SRR13762702	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762703	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762706	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762708	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762710	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762711	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762712	3000	0.000	PRJNA698272	Case	Liver	NAFLD
SRR13762713	3000	0.000	PRJNA698272	Case	Liver	NAFLD
